count,file_name,problem_instance_uuid,team,creation_timestamp,short_name,number_of_hamiltonians
1,problem_instance.cl2_0.0e393c20-3915-42b9-a8aa-29bf53548269.json,0e393c20-3915-42b9-a8aa-29bf53548269,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,cl2_0,3
2,problem_instance.Cu_0.1448d27d-bfa9-470f-a6c8-864a295b66f4.json,1448d27d-bfa9-470f-a6c8-864a295b66f4,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Cu_0,2
3,problem_instance.si2_h6_0.0c1dfb55-f021-409a-80b1-79c8c2908095.json,0c1dfb55-f021-409a-80b1-79c8c2908095,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,si2_h6_0,1
4,problem_instance.blue_dimer.dc8bdc56-5ebd-4996-6b81-81b1a06d8c76.json,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,BOBQAT Team/Zapata AI/,2024-03-20T20:48:21.795324+00:00,blue_dimer,12
5,problem_instance.benzene.f377cc27-366a-45af-b45a-c8478e4b6199.json,f377cc27-366a-45af-b45a-c8478e4b6199,Matthew Otten/,2024-11-20T00:00:00.0+00:00,benzene,2
6,problem_instance.Cr_1.02a8c4e9-9d15-4742-b4cc-7f47f69da0e5.json,02a8c4e9-9d15-4742-b4cc-7f47f69da0e5,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Cr_1,3
7,problem_instance.Ti_1.9823b0dd-87b6-4793-9741-e8cbcf2b50c0.json,9823b0dd-87b6-4793-9741-e8cbcf2b50c0,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Ti_1,2
8,problem_instance.V_0.a14a1e28-71c5-4e23-bf6e-dd9662a6df58.json,a14a1e28-71c5-4e23-bf6e-dd9662a6df58,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,V_0,2
9,problem_instance.CuO_0.886ad5bf-d487-48c8-b08c-c9f82b84ed5d.json,886ad5bf-d487-48c8-b08c-c9f82b84ed5d,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,CuO_0,1
10,problem_instance.TiO_0.0b91f99e-8de5-415d-a78e-f80e45d621ca.json,0b91f99e-8de5-415d-a78e-f80e45d621ca,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,TiO_0,1
11,problem_instance.na2_0.edb1dfc4-c9d0-41ce-902a-2cfcf97c0c76.json,edb1dfc4-c9d0-41ce-902a-2cfcf97c0c76,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,na2_0,3
12,problem_instance.mn_mono.cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8.json,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,BOBQAT Team/Zapata AI/,2024-03-20T20:48:21.795324+00:00,mn_mono,8
13,problem_instance.FeO_0.55d0ed82-0560-4448-8459-c2ba00654d9d.json,55d0ed82-0560-4448-8459-c2ba00654d9d,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,FeO_0,1
14,problem_instance.p_h3_0.0c2e43eb-58f3-41ca-a21f-ae46fc2a0e57.json,0c2e43eb-58f3-41ca-a21f-ae46fc2a0e57,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,p_h3_0,2
15,problem_instance.h2_s_0.208f2e50-2b56-4e72-815a-cba5cec1264c.json,208f2e50-2b56-4e72-815a-cba5cec1264c,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,h2_s_0,3
16,problem_instance.Sc_0.67f72316-2262-44fb-8c0a-e159e1cd0cf0.json,67f72316-2262-44fb-8c0a-e159e1cd0cf0,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Sc_0,3
17,problem_instance.na_cl_0.3f141f05-532b-478d-b38a-2ae07baadc88.json,3f141f05-532b-478d-b38a-2ae07baadc88,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,na_cl_0,3
18,problem_instance.c2_h2_0.0ca102a7-dad4-4d42-8c73-9acfa45378d7.json,0ca102a7-dad4-4d42-8c73-9acfa45378d7,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,c2_h2_0,2
19,problem_instance.li_f_0.e48e7467-1fcd-478b-a599-f4ce881c57b9.json,e48e7467-1fcd-478b-a599-f4ce881c57b9,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,li_f_0,3
20,problem_instance.h2_c_o_0.25fd617b-8e7f-4422-9e97-cc3f6b0d3876.json,25fd617b-8e7f-4422-9e97-cc3f6b0d3876,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,h2_c_o_0,2
21,problem_instance.planted_solution_0011.766ba2da-e72a-4e03-a739-f97269026fc4.json,766ba2da-e72a-4e03-a739-f97269026fc4,Joshua T. Cantin/,2024-11-14T10:19:01.677253+00:00,planted_solution_0011,1
22,problem_instance.Mn_0.bc202949-d76c-4962-b937-5c12b298b8b4.json,bc202949-d76c-4962-b937-5c12b298b8b4,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Mn_0,2
23,problem_instance.planted_solution_0008.b57eb979-5c09-4974-97b4-5862e109a1ae.json,b57eb979-5c09-4974-97b4-5862e109a1ae,Joshua T. Cantin/,2024-11-14T10:18:17.375341+00:00,planted_solution_0008,1
24,problem_instance.mo_n2.664ec8e4-09d5-41cc-6266-ddb26219366f.json,664ec8e4-09d5-41cc-6266-ddb26219366f,BOBQAT Team/Zapata AI/,2024-03-20T20:48:21.795324+00:00,mo_n2,4
25,problem_instance.li_h_0.6d355019-13aa-41fc-a530-31d5f968ba22.json,6d355019-13aa-41fc-a530-31d5f968ba22,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,li_h_0,3
26,problem_instance.li2_0.3301a356-21a9-472b-8021-f02f4d2c9eec.json,3301a356-21a9-472b-8021-f02f4d2c9eec,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,li2_0,3
27,problem_instance.h_f_0.892e3341-7186-44c6-9a1a-20f270ddc8b8.json,892e3341-7186-44c6-9a1a-20f270ddc8b8,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,h_f_0,3
28,problem_instance.Fe_0.05abb33d-ecea-406f-8832-31a814b26dfd.json,05abb33d-ecea-406f-8832-31a814b26dfd,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Fe_0,2
29,problem_instance.planted_solution_0010.bf3fb654-72c7-4fd4-bfd1-9ffef5aaebd8.json,bf3fb654-72c7-4fd4-bfd1-9ffef5aaebd8,Joshua T. Cantin/,2024-11-14T10:18:59.147255+00:00,planted_solution_0010,1
30,problem_instance.ru_macho.b78a10f2-ce8a-43c0-69ec-4cf666d8e85c.json,b78a10f2-ce8a-43c0-69ec-4cf666d8e85c,BOBQAT Team/Zapata AI/,2024-03-20T20:48:21.795324+00:00,ru_macho,9
31,problem_instance.Cu_1.d5c7ab73-dfc1-499e-9027-601476004107.json,d5c7ab73-dfc1-499e-9027-601476004107,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Cu_1,2
32,problem_instance.n_h3_0.127cfea5-8a7d-45a0-9012-949816a0b8d9.json,127cfea5-8a7d-45a0-9012-949816a0b8d9,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,n_h3_0,2
33,problem_instance.planted_solution_0006.42958a3e-8b35-4992-acd8-6711848066c1.json,42958a3e-8b35-4992-acd8-6711848066c1,Joshua T. Cantin/,2024-11-14T10:16:40.231807+00:00,planted_solution_0006,1
34,problem_instance.n2_h4_0.f1a6b508-75e8-4afb-9c81-fc61af11b523.json,f1a6b508-75e8-4afb-9c81-fc61af11b523,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,n2_h4_0,1
35,problem_instance.c2_h4_0.9fbd9b4c-5ea9-4095-af7b-7d4491399e42.json,9fbd9b4c-5ea9-4095-af7b-7d4491399e42,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,c2_h4_0,2
36,problem_instance.O_1.d712afaf-6ec4-42d9-b5fd-1edee3ec1046.json,d712afaf-6ec4-42d9-b5fd-1edee3ec1046,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,O_1,3
37,problem_instance.cr_dimer.8ed1a800-a4c6-4bff-a6de-cb220554c42f.json,8ed1a800-a4c6-4bff-a6de-cb220554c42f,Matthew Otten/,2024-11-20T00:00:00.0+00:00,cr_dimer,12
38,problem_instance.be_0.19cada59-64cc-466c-8809-782a4f574dcc.json,19cada59-64cc-466c-8809-782a4f574dcc,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,be_0,3
39,problem_instance.f2_0.e3e78b41-577d-4536-a63f-7e968eeb6493.json,e3e78b41-577d-4536-a63f-7e968eeb6493,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,f2_0,3
40,problem_instance.n2_0.9bd9cde6-6daa-441a-984e-ae1c1c051e91.json,9bd9cde6-6daa-441a-984e-ae1c1c051e91,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,n2_0,3
41,problem_instance.fe_red.a8895776-3583-4884-fbc7-d6f9df21a7ac.json,a8895776-3583-4884-fbc7-d6f9df21a7ac,BOBQAT Team/Zapata AI/,2024-03-20T20:48:21.795324+00:00,fe_red,9
42,problem_instance.Fe_1.33c9a058-7a67-454c-856c-2519ba55b44d.json,33c9a058-7a67-454c-856c-2519ba55b44d,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Fe_1,2
43,problem_instance.ScO_0.7437abf0-1394-47ce-9218-d181f1732112.json,7437abf0-1394-47ce-9218-d181f1732112,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,ScO_0,1
44,problem_instance.planted_solution_0003.a37c86c0-1937-4f05-83ab-08a5fd104b7e.json,a37c86c0-1937-4f05-83ab-08a5fd104b7e,Joshua T. Cantin/,2024-11-14T10:12:30.055628+00:00,planted_solution_0003,1
45,problem_instance.h_c_n_0.8846a90e-96cb-4bc3-ad06-5388212f728e.json,8846a90e-96cb-4bc3-ad06-5388212f728e,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,h_c_n_0,2
46,problem_instance.si_h4_0.13c7144d-047e-4431-8d02-0b1d14c0526b.json,13c7144d-047e-4431-8d02-0b1d14c0526b,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,si_h4_0,2
47,problem_instance.planted_solution_0009.8db449b1-265b-4a66-b965-a2b4833a88d1.json,8db449b1-265b-4a66-b965-a2b4833a88d1,Joshua T. Cantin/,2024-11-14T10:18:57.029906+00:00,planted_solution_0009,1
48,problem_instance.Mn_1.11c8be98-d9c9-40ea-8d88-ea8c555028f6.json,11c8be98-d9c9-40ea-8d88-ea8c555028f6,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Mn_1,2
49,problem_instance.c_h3_cl_0.379781b8-5732-492e-9fca-6fad3fc3692a.json,379781b8-5732-492e-9fca-6fad3fc3692a,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,c_h3_cl_0,2
50,problem_instance.p2_0.2e61ba35-b6b0-42b5-b3e8-d25bd83145ba.json,2e61ba35-b6b0-42b5-b3e8-d25bd83145ba,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,p2_0,3
51,problem_instance.si_o_0.68f1a091-8652-4095-ba31-56f0e02e27d3.json,68f1a091-8652-4095-ba31-56f0e02e27d3,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,si_o_0,3
52,problem_instance.h2_o_0.9b8083ab-ea59-47db-894c-95a0d2ba3cb6.json,9b8083ab-ea59-47db-894c-95a0d2ba3cb6,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,h2_o_0,3
53,problem_instance.h_o_cl_0.ea2e13c5-6d80-466e-bd6b-6289e10ed82b.json,ea2e13c5-6d80-466e-bd6b-6289e10ed82b,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,h_o_cl_0,2
54,problem_instance.c2_h6_0.b1c5ac4e-9b94-4e89-9557-da2026933172.json,b1c5ac4e-9b94-4e89-9557-da2026933172,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,c2_h6_0,1
55,problem_instance.planted_solution_0001.3d3b9e8a-7842-4ca1-bd82-eddb9804972d.json,3d3b9e8a-7842-4ca1-bd82-eddb9804972d,Joshua T. Cantin/,2024-11-14T10:11:45.616464+00:00,planted_solution_0001,1
56,problem_instance.c_h4_0.e0f6ed02-6502-454b-bf2c-e7994e0510f4.json,e0f6ed02-6502-454b-bf2c-e7994e0510f4,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,c_h4_0,2
57,problem_instance.V_1.18e1973e-d6cf-48d6-9ca4-c1af21ff7c98.json,18e1973e-d6cf-48d6-9ca4-c1af21ff7c98,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,V_1,2
58,problem_instance.planted_solution_0007.3aaf0bb4-b412-4746-922a-c380b4024d00.json,3aaf0bb4-b412-4746-922a-c380b4024d00,Joshua T. Cantin/,2024-11-14T10:16:42.261857+00:00,planted_solution_0007,1
59,problem_instance.Ti_0.c1e4c7dd-2dc4-4dd0-889d-fb34f602965a.json,c1e4c7dd-2dc4-4dd0-889d-fb34f602965a,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Ti_0,2
60,problem_instance.CrO_0.2140edd4-8eb3-4270-b753-278334998e3d.json,2140edd4-8eb3-4270-b753-278334998e3d,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,CrO_0,1
61,problem_instance.planted_solution_0002.00043d56-ed63-4266-907c-99c95c51b9db.json,00043d56-ed63-4266-907c-99c95c51b9db,Joshua T. Cantin/,2024-11-14T10:12:27.984256+00:00,planted_solution_0002,1
62,problem_instance.h3_c_o_h_0.5524b5e5-adba-4322-9808-69e75e4335b2.json,5524b5e5-adba-4322-9808-69e75e4335b2,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,h3_c_o_h_0,2
63,problem_instance.Cr_0.b8fe08a4-82fe-4636-9812-b1e0666f95b5.json,b8fe08a4-82fe-4636-9812-b1e0666f95b5,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Cr_0,2
64,problem_instance.h2_o2_0.cc7044d7-28e0-4fe2-bd6b-c9c758da4776.json,cc7044d7-28e0-4fe2-bd6b-c9c758da4776,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,h2_o2_0,2
65,problem_instance.c_o_0.1c3155e0-3679-4eff-bed0-57a1082672c3.json,1c3155e0-3679-4eff-bed0-57a1082672c3,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,c_o_0,3
66,problem_instance.Sc_1.c6ab4ddb-efe8-46d6-9fc4-90901c08d9a7.json,c6ab4ddb-efe8-46d6-9fc4-90901c08d9a7,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Sc_1,3
67,problem_instance.si_h2_singlet_0.a0a07bfe-aac2-4d61-9425-009953899b3b.json,a0a07bfe-aac2-4d61-9425-009953899b3b,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,si_h2_singlet_0,3
68,problem_instance.c_s_0.f90280cc-c860-4ff1-a9ec-4841cec989f7.json,f90280cc-c860-4ff1-a9ec-4841cec989f7,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,c_s_0,2
69,problem_instance.h3_c_s_h_0.674b572a-3d6d-4418-8cc2-4755d90367ee.json,674b572a-3d6d-4418-8cc2-4755d90367ee,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,h3_c_s_h_0,1
70,problem_instance.h_cl_0.586ce6a9-1876-459e-9b6c-be8bb1c4d1a5.json,586ce6a9-1876-459e-9b6c-be8bb1c4d1a5,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,h_cl_0,3
71,problem_instance.s_o2_0.1d0b8322-24b3-407a-8246-07444bb020be.json,1d0b8322-24b3-407a-8246-07444bb020be,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,s_o2_0,2
72,problem_instance.planted_solution_0004.e0adafc5-789e-43e6-8f9e-e718da28de3a.json,e0adafc5-789e-43e6-8f9e-e718da28de3a,Joshua T. Cantin/,2024-11-14T10:13:14.102024+00:00,planted_solution_0004,1
73,problem_instance.O_0.162f41da-af43-427c-a8bc-ae9fa97ace95.json,162f41da-af43-427c-a8bc-ae9fa97ace95,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,O_0,3
74,problem_instance.ozone.9560107e-f1ad-4480-aa51-ef03edda6e19.json,9560107e-f1ad-4480-aa51-ef03edda6e19,Matthew Otten/,2024-11-20T00:00:00.0+00:00,ozone,6
75,problem_instance.c_h2_singlet_0.7ca1486c-06a5-47c1-b8ab-eab491ffc68b.json,7ca1486c-06a5-47c1-b8ab-eab491ffc68b,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,c_h2_singlet_0,3
76,problem_instance.VO_0.bcc86483-2a7e-4271-b6fc-238ef5e682f6.json,bcc86483-2a7e-4271-b6fc-238ef5e682f6,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,VO_0,1
77,problem_instance.planted_solution_0005.7e0fb928-b0a9-4b44-89f1-7e0ee3b2bb13.json,7e0fb928-b0a9-4b44-89f1-7e0ee3b2bb13,Joshua T. Cantin/,2024-11-14T10:14:41.719923+00:00,planted_solution_0005,1
78,problem_instance.ru_mono.7213642b-5f16-48be-d5e5-2bc42ebb8526.json,7213642b-5f16-48be-d5e5-2bc42ebb8526,BOBQAT Team/Zapata AI/,2024-03-20T20:48:21.795324+00:00,ru_mono,6
79,problem_instance.mo2_n2.90d4e4fc-1216-4846-b45f-198c0530e29b.json,90d4e4fc-1216-4846-b45f-198c0530e29b,BOBQAT Team/Zapata AI/,2024-03-20T20:48:21.795324+00:00,mo2_n2,3
80,problem_instance.MnO_0.e2212cdf-adef-454a-b218-05041d723c55.json,e2212cdf-adef-454a-b218-05041d723c55,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,MnO_0,1
81,problem_instance.mo_n2_pincer.8a3787cc-d3d0-42a8-d9a9-7de2aed45208.json,8a3787cc-d3d0-42a8-d9a9-7de2aed45208,BOBQAT Team/Zapata AI/,2024-03-20T20:48:21.795324+00:00,mo_n2_pincer,16
82,problem_instance.c_o2_0.3987b2dd-25bc-44e2-b516-dbc3f670a9c3.json,3987b2dd-25bc-44e2-b516-dbc3f670a9c3,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,c_o2_0,2
